0	10	379	8	0	388	64	322	11	56	19	1	160	0	0	0	0	0	31	0	9	72	0	0	0	1	0	0	0	13	0	50	0	145	22	119	411	211	0	286	0	57	0	0	72	3	23	3	0	84	1	0	20	0	0	0	0	0	0	0	0	106	0	0	121	2	31	2	29	9	80	181	0	80	137	1275	587	992	185	0	0	0	0	0	0	0	104	0	0	0	0	7	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	6	0	163	26	1	169	712	21	234	20	3	6	6	0	0	0	0	49	669	1413	1069	462	69	10	143	5	0	0	35	28	0	17	59	0	6	0	81	0	38	54	41	3	16	0	0	0	0	0	17	3	0	0	0	15	0	43	0	5	11	19	28	0	4	8	0	0	0	21	1	0	7	77	9	100	20	330
47	0	145	14	12	385	345	125	0	0	0	0	881	210	158	0	270	0	0	0	0	0	0	106	633	43	0	0	0	0	2	0	16	0	0	9	69	0	9	2	0	0	12	9	37	1	1	0	10	7	13	1	0	29	1	0	0	0	0	0	0	0	0	0	486	0	14	1	31	0	97	188	10	0	85	67	152	97	15	0	0	0	0	0	241	0	328	19	250	0	0	0	0	0	0	51	0	0	13	4	44	0	0	0	0	6	0	0	0	0	3	83	5	0	845	20	487	179	55	12	17	17	37	20	0	229	23	84	270	95	17	0	15	10	0	260	117	272	39	0	488	0	12	0	46	101	219	3	0	5	0	0	24	0	0	9	950	0	0	0	0	53	0	183	0	26	13	0	20	17	18	27	0	9	17	4	7	0	53	129	14	403	0	279
13	0	108	0	0	56	232	38	0	41	52	0	0	7	5	0	2	0	0	0	0	0	0	8	0	5	0	0	31	294	0	0	400	290	0	328	0	345	154	0	0	31	0	29	226	9	0	29	7	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	18	5	0	6	42	542	0	14	292	2521	65	490	71	0	0	0	153	0	0	2727	18	0	0	0	0	10	0	0	40	0	0	0	0	0	0	8	23	0	0	0	15	0	12	65	0	0	16	0	12	0	72	52	0	0	0	4	0	15	177	455	753	203	658	35	21	0	70	0	7	9	35	124	23	0	57	19	6	0	26	189	55	1299	0	9	28	542	92	0	0	0	0	0	0	0	0	0	0	12	0	6	0	0	101	0	14	103	20	37	97	54	53	0	0	0	0	74	0	38
22	0	115	47	0	110	17	294	9	6	0	0	207	2	0	0	10	0	0	16	18	122	81	160	0	10	19	14	0	0	0	26	98	0	57	0	131	222	0	3	0	0	17	7	151	48	11	0	27	74	148	6	9	15	71	0	14	12	232	91	46	16	77	3	0	0	12	0	42	1	11	334	0	22	47	120	92	84	0	48	158	13	111	56	11	62	69	2	125	4	90	0	0	55	51	0	263	157	9	27	0	0	0	22	478	18	68	10	0	53	38	88	17	11	19	19	731	67	92	29	26	1	20	13	0	145	0	0	1500	102	43	6	42	20	73	284	0	154	11	64	0	0	9	12	21	108	43	0	29	89	7	13	0	61	0	76	223	364	0	110	14	28	18	55	7	350	227	22	56	4	8	23	23	26	21	13	6	9	15	74	46	1059	15	271
8	0	369	0	0	134	353	227	39	3	50	4	13	0	712	0	64	0	963	0	9	0	0	3	0	0	0	0	12	0	10	7	0	127	175	143	0	0	0	0	4	0	0	145	77	0	18	14	0	0	50	10	194	0	0	3	20	12	368	0	0	66	9	9	387	1	22	6	87	2	7	196	0	7	43	222	151	278	0	35	274	0	0	65	2	0	48	11	4	9	24	0	7	13	0	0	39	19	28	18	24	1	0	10	73	48	0	8	3	101	83	77	2	0	28	5	110	75	182	130	48	4	1	40	0	56	39	11	23	144	68	0	138	5	74	32	0	104	0	0	50	0	0	0	51	3	0	258	202	6	10	0	0	0	6	21	10	0	0	1125	0	20	0	34	22	166	22	91	50	40	5	12	3	0	0	8	0	0	18	74	73	721	0	459
28	0	95	31	0	243	68	27	0	10	37	0	0	0	0	21	54	101	6	3	14	0	0	0	0	3	46	46	0	0	0	35	3	68	89	74	0	30	0	2	0	19	0	16	3	0	3	7	0	1	45	22	0	8	0	0	14	0	114	88	241	24	15	10	86	0	0	0	91	5	0	303	0	0	19	46	419	70	35	23	341	0	112	34	3	0	48	6	13	3	15	5	0	10	4	0	48	38	6	45	38	0	0	26	0	11	9	0	0	19	80	48	0	0	0	10	107	78	68	296	55	12	27	48	68	0	0	64	31	39	61	0	8	6	176	167	0	222	161	6	40	0	7	22	29	56	64	11	103	6	14	0	3	0	0	0	26	0	0	0	0	0	0	91	75	426	235	23	48	245	6	7	0	0	9	31	0	0	59	99	152	4572	0	851
18	0	287	38	0	76	23	241	0	50	0	35	8	146	0	8	8	0	0	14	6	12	25	32	91	0	69	130	0	17	0	15	152	525	342	256	126	744	0	0	4	123	0	26	109	16	15	17	19	22	5	0	0	0	0	27	16	8	336	462	82	29	12	24	0	4	12	0	13	0	31	140	0	24	0	24	107	216	37	85	0	0	386	0	3	0	3	3	5	0	167	6	14	0	0	732	86	0	7	57	51	3	35	1	1050	0	68	29	0	120	221	294	11	0	11	12	259	13	28	12	21	0	11	84	0	89	26	0	405	0	41	10	16	26	0	52	0	290	0	127	26	7	15	0	46	0	41	100	36	13	0	112	42	4	22	16	57	106	41	137	18	47	21	84	2	436	87	18	0	28	28	20	112	49	39	31	14	16	11	34	104	423	37	183
0	30	98	4	11	33	0	111	30	3	39	87	16	68	0	4	1	81	0	12	0	142	7	43	0	0	0	0	0	10	0	0	0	8	0	16	0	0	0	4	0	0	7	0	0	1	7	10	22	0	8	5	42	0	7	7	6	0	0	96	0	21	0	5	18	2	0	9	93	5	188	158	168	129	220	242	60	64	0	72	0	21	42	0	114	0	4	0	28	4	20	0	27	7	32	16	1	0	0	11	21	12	0	0	270	0	16	10	0	63	116	41	16	0	14	12	77	16	93	0	28	9	0	6	14	27	15	267	449	124	25	0	16	4	0	339	0	335	0	0	11	21	18	4	11	0	70	168	105	10	29	0	8	182	37	0	73	55	43	521	0	0	12	42	0	184	7	49	0	0	14	25	16	31	11	44	0	7	15	20	26	357	20	72
0	0	47	40	5	245	0	22	9	0	0	0	1779	164	52	0	10	81	0	0	3	892	88	501	122	18	0	8	10	0	24	4	491	0	0	95	0	0	0	31	103	82	195	0	0	92	0	28	638	311	177	0	0	0	0	5	0	14	0	0	252	0	148	0	328	29	0	7	156	24	12	136	0	0	16	11	186	293	1	184	1	426	189	0	3	90	1	3	64	32	109	0	0	0	14	515	0	0	0	50	0	4	77	900	0	112	2	0	6	63	41	77	8	1	10	3	47	0	0	0	0	6	3	104	0	26	0	0	4	0	0	0	21	6	0	8	100	12	48	0	8	0	0	8	4	0	4	13	8	0	0	8	0	0	4	0	4	57	2	25	28	0	167	176	3	158	87	15	7	2	0	0	0	0	0	0	0	0	14	2	32	3	0	18
0	0	885	1	16	124	5	334	10	8	0	0	3	0	0	44	65	0	1147	2	9	4	0	79	0	0	0	25	20	8	0	94	62	66	32	309	51	0	12	114	0	0	5	11	0	1	13	7	0	0	231	19	64	0	21	12	0	0	0	0	0	53	0	0	0	10	0	9	81	10	77	2298	0	0	31	0	518	118	90	0	3	0	0	0	10	0	112	0	2	5	0	0	3	6	5	0	0	0	0	13	0	3	0	0	30	0	6	0	13	2	52	108	8	0	14	8	1437	179	163	10	33	20	0	65	0	25	26	146	1247	165	65	0	0	6	0	493	50	329	4	0	35	46	0	0	14	0	5	22	52	0	18	0	14	10	2	0	115	0	0	26	0	271	0	232	0	291	2	12	10	0	10	82	0	0	12	53	23	5	48	164	26	1039	0	19
0	19	73	5	33	384	0	335	0	90	331	0	0	0	21	17	64	0	92	22	21	2	0	0	0	45	15	21	0	11	0	3	45	1	20	23	89	92	0	17	12	0	35	17	152	0	0	5	33	33	232	0	300	0	75	19	0	0	0	0	0	0	81	71	0	0	57	4	39	80	12	0	0	0	115	50	1541	158	0	3	376	1	0	9	187	171	8	1	0	0	34	0	0	0	0	70	0	0	0	0	0	12	34	0	499	33	5	0	47	69	46	3	0	116	0	0	87	34	59	0	49	0	0	36	19	78	0	82	577	40	10	4	10	6	36	0	0	135	66	0	60	0	0	0	99	19	13	21	9	143	0	13	0	5	0	0	25	0	0	68	0	105	0	508	94	426	159	285	0	24	3	14	0	6	7	32	0	0	76	104	62	1203	74	470
56	0	178	6	0	250	85	398	5	3	0	0	106	440	5	0	76	0	0	5	3	193	0	285	0	9	0	179	0	59	0	60	74	121	48	384	0	0	0	3	0	0	0	69	124	6	8	5	0	15	77	0	0	0	0	0	0	12	202	348	19	43	26	6	0	3	0	0	28	1	136	264	0	0	433	209	278	0	0	3	0	737	0	39	251	0	70	18	98	12	7	0	1	0	69	0	3	0	24	12	73	5	33	2	18	53	0	13	5	8	32	100	4	0	84	2	434	351	41	9	12	0	0	154	12	97	620	480	1740	110	56	11	21	3	0	218	0	472	14	0	56	5	0	0	42	22	47	246	0	5	0	38	0	19	0	0	173	1	0	510	0	17	74	48	103	189	9	61	37	8	7	17	0	13	11	31	4	0	15	100	31	815	0	130
0	0	289	5	3	133	0	0	0	0	16	0	0	0	0	10	63	48	521	0	4	7	0	0	87	28	0	0	0	24	0	301	224	0	264	685	78	0	0	206	91	0	30	175	0	7	0	0	0	0	9	6	0	0	8	5	0	2	69	140	104	0	0	0	303	0	13	6	39	9	88	398	0	38	96	576	6	98	27	0	0	0	82	20	93	0	39	1	82	5	8	0	5	5	0	14	0	0	0	0	0	5	14	0	20	2	0	0	13	47	0	89	9	0	36	0	675	0	0	0	8	43	0	7	1	29	0	11	1134	51	132	0	2	0	0	80	0	203	167	0	133	61	9	0	12	0	0	108	34	3	14	81	106	0	8	0	311	0	0	0	186	25	212	724	10	496	0	105	14	73	0	119	0	9	41	76	24	0	0	61	22	2924	0	362
76	0	1226	19	0	317	3	1122	29	0	0	0	4	6	0	397	11	0	2366	0	45	307	9	52	673	0	0	0	17	5	23	0	0	94	0	92	120	0	0	65	0	28	0	21	83	14	0	3	190	182	208	13	224	0	125	1	11	0	37	0	42	23	0	0	0	0	50	9	30	35	54	38	0	0	90	243	48	0	0	0	0	0	376	0	0	0	51	7	5	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	8	8	22	67	0	0	70	12	538	127	50	0	7	7	7	84	7	0	38	8	679	41	112	5	148	11	71	0	0	298	18	19	17	40	0	19	14	9	0	22	0	0	4	14	0	14	0	0	88	1036	0	0	168	107	93	256	0	837	196	0	14	0	12	3	0	0	0	37	0	0	41	147	157	755	48	68
0	0	63	7	0	16	26	60	0	0	0	184	5	2	0	10	22	0	0	15	0	33	6	17	0	3	21	26	0	71	34	7	0	250	15	0	282	59	80	36	0	0	10	0	55	12	31	0	123	46	16	0	10	0	16	3	2	12	0	62	0	24	0	0	20	0	0	0	23	0	139	622	27	73	1146	607	38	153	30	1	0	4	47	0	45	0	91	0	15	0	6	10	0	0	0	23	0	14	9	10	2	0	0	0	2	0	16	4	1	3	62	18	5	2	12	0	137	31	17	0	0	2	0	1	32	0	165	152	1375	1703	0	9	28	0	0	39	60	28	0	25	18	0	18	0	10	0	16	14	85	0	10	218	117	58	24	44	36	0	0	4	0	43	31	110	0	69	12	0	13	0	17	15	19	22	25	30	7	0	0	9	14	98	0	60
294	0	55	0	9	133	77	144	6	5	0	0	223	89	63	0	4	0	830	0	6	94	27	106	53	6	0	0	0	61	0	17	873	294	139	839	0	0	0	0	0	0	0	154	0	45	14	5	0	101	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	7	18	2	0	34	29	237	0	77	49	666	464	29	12	0	6	0	221	0	2	1246	132	14	0	0	0	0	0	0	0	5	0	0	10	20	0	5	0	0	4	0	0	0	7	0	129	99	0	119	43	8	652	0	6	0	20	0	8	89	0	112	399	414	455	192	0	0	3	0	179	0	0	305	4	0	112	76	10	0	63	53	69	97	88	0	0	7	0	183	80	0	157	0	0	0	0	0	135	216	0	93	268	0	313	29	0	90	0	52	45	26	0	18	12	35	223	632	0	23
37	0	256	76	0	49	0	134	13	31	0	13	74	547	3	0	2	0	335	3	32	55	0	509	0	0	0	0	0	19	31	0	28	18	0	58	25	0	0	45	0	8	11	138	132	0	0	6	227	239	27	0	0	0	0	0	30	17	185	445	31	0	52	9	1625	3	0	6	87	4	431	328	0	30	46	37	1437	25	0	0	163	0	64	9	0	0	5	0	73	16	92	35	38	134	251	73	40	157	9	71	47	3	43	74	1368	0	157	10	0	297	277	63	8	5	0	13	752	91	78	14	19	12	0	11	0	0	0	57	13	29	25	0	0	0	69	20	0	134	0	18	15	16	0	7	37	12	13	0	65	9	16	32	0	1	0	9	225	0	0	200	12	21	30	53	31	130	125	0	34	0	29	17	22	28	36	13	9	12	11	48	307	433	39	14
0	16	289	3	0	130	62	495	17	1	0	13	29	0	0	47	12	90	0	9	4	123	46	352	0	5	0	0	0	0	43	0	61	0	176	0	122	20	0	22	0	0	0	3	11	0	0	18	2883	703	74	43	47	50	57	0	14	0	0	0	0	88	0	0	275	6	0	3	21	4	41	53	0	4	243	92	104	245	30	114	719	3	26	0	14	167	21	0	6	4	9	0	0	35	64	0	0	203	3	0	0	4	138	0	316	6	51	13	0	30	171	190	3	0	39	9	155	177	35	2	18	9	3	149	0	52	0	56	36	80	7	0	12	4	0	51	36	346	0	0	102	56	0	24	54	0	9	33	38	27	33	18	77	20	2	0	99	532	0	0	242	0	22	170	0	47	172	33	33	0	3	7	0	0	0	16	0	6	11	87	77	222	51	991
13	0	49	9	0	226	0	109	0	0	0	0	62	0	28	0	0	0	0	0	0	313	14	11	0	154	0	0	0	0	0	0	0	775	179	47	888	185	0	208	196	0	0	55	0	15	0	0	0	91	189	0	0	0	0	13	0	0	0	0	0	0	0	0	0	27	30	24	0	29	395	0	0	0	48	0	170	0	0	0	481	0	0	0	15	59	47	0	0	0	18	0	0	0	0	11	0	0	0	0	0	11	48	0	0	0	0	0	12	0	0	0	0	53	0	0	1249	0	0	0	0	0	0	19	0	0	408	42	146	230	0	0	0	0	231	47	0	94	56	0	0	0	0	0	30	0	0	49	0	0	0	0	44	0	46	0	106	0	0	0	18	0	18	200	0	194	143	0	11	0	68	0	0	57	0	0	0	0	0	45	0	460	0	8
0	39	168	19	14	275	19	368	27	0	0	0	219	8	13	103	3	44	0	11	12	268	20	181	6	146	24	0	0	0	21	6	210	35	0	92	86	32	0	0	28	0	31	58	104	16	0	16	188	179	36	5	93	0	17	4	12	9	242	52	31	22	1	0	227	20	1	2	37	5	162	434	190	62	359	226	220	565	15	4	120	21	0	0	3	0	129	11	44	8	73	5	6	9	0	74	0	0	0	32	0	2	0	0	92	0	0	0	6	45	72	72	8	7	9	7	679	108	20	0	4	10	10	58	5	58	293	126	1067	405	23	8	32	3	75	217	41	267	0	47	49	0	20	6	36	0	41	155	53	0	46	0	262	92	26	16	202	3	158	0	20	10	24	94	0	238	203	0	87	13	18	25	0	22	19	19	7	0	10	29	57	500	29	54
0	6	202	8	3	58	12	161	0	57	24	17	0	5	0	7	66	27	0	11	0	0	0	5	50	0	14	16	4	13	0	14	283	55	10	75	154	1	23	198	0	40	0	30	162	13	9	40	58	0	36	0	6	0	15	14	9	9	0	66	44	19	0	0	0	1	13	0	15	3	119	488	0	180	88	371	344	93	58	217	0	0	0	0	5	148	24	1	15	9	18	0	36	36	18	11	0	0	8	0	28	19	0	0	481	191	26	32	11	120	402	25	18	6	21	4	100	64	78	32	7	11	16	0	3	0	16	113	1505	0	70	18	42	0	96	98	0	79	0	106	9	0	22	0	14	7	9	40	102	38	20	239	502	2	45	21	123	86	0	407	12	0	0	117	44	237	65	0	66	12	39	136	49	65	77	84	53	42	15	46	34	346	0	114
13	0	236	6	8	74	0	218	7	64	9	23	65	21	188	0	0	0	0	50	10	0	0	20	0	0	14	70	0	0	15	0	146	21	42	0	217	324	39	46	3	22	0	8	37	0	7	0	0	103	64	6	48	0	11	86	90	17	17	601	36	18	114	34	0	6	21	5	102	8	77	477	0	0	58	241	260	52	17	331	0	0	27	1	289	0	104	0	145	28	55	0	19	111	0	13	600	0	0	41	0	10	28	104	930	0	57	98	14	304	218	83	3	0	31	2	132	96	9	0	19	4	28	117	0	13	0	24	217	0	62	15	0	0	46	83	0	39	14	9	0	39	14	6	15	21	35	0	12	10	44	0	117	78	20	65	169	410	0	0	0	46	139	288	7	45	143	43	0	0	14	47	56	52	19	75	11	7	29	113	45	123	40	78
0	37	154	15	21	65	188	301	13	35	0	0	18	14	23	293	82	0	0	0	11	168	0	169	164	132	15	23	12	0	0	17	757	0	44	196	239	0	58	0	23	14	33	124	152	5	11	12	0	13	111	0	0	30	0	10	0	0	0	0	0	101	0	0	864	0	7	5	25	95	140	131	0	17	187	492	361	428	17	31	0	0	0	0	2	33	18	19	0	20	23	0	6	59	47	0	4	0	34	21	0	5	174	0	487	0	35	0	9	23	0	147	17	0	34	10	1116	262	71	37	17	40	17	83	0	65	70	29	740	179	78	87	20	14	0	74	77	285	138	13	28	20	0	11	99	0	13	93	0	0	59	74	22	66	0	26	229	0	0	0	0	40	24	275	0	710	91	0	32	18	6	32	0	8	21	29	17	0	45	205	108	330	16	221
0	110	464	1	7	88	81	211	0	18	188	26	1	0	216	0	54	0	37	0	0	43	0	39	99	0	0	0	8	0	0	25	403	6	0	0	228	155	71	70	8	0	16	69	121	0	0	34	9	51	48	18	0	0	17	17	0	0	0	0	0	62	31	5	0	0	0	4	25	7	27	0	0	20	107	228	61	169	0	0	724	0	0	43	1534	0	58	0	18	10	0	3	0	0	0	0	3	0	14	0	23	14	0	0	263	60	0	0	17	27	0	0	17	33	22	0	330	13	269	0	0	0	23	15	384	0	61	110	1688	315	87	0	12	0	105	137	0	43	73	0	0	43	0	0	0	19	133	147	158	2	26	11	17	45	41	28	204	0	0	0	0	60	49	88	32	83	96	91	0	24	16	44	0	0	17	0	32	38	41	50	14	394	0	274
